query_id,episode,station,time_index,diameter_bin
0,E01,S2,29,2
1,E01,S3,24,2
2,E01,W2,20,2
3,E02,S4,26,0
4,E02,W2,21,2
5,E03,S1,31,3
6,E03,S4,26,2
7,E03,W2,24,3
8,E04,S1,34,3
9,E04,S3,40,6
10,E04,W2,37,6
11,E05,S2,39,4
12,E05,S4,34,3
13,E05,W1,37,2
14,E06,S4,19,3
15,E06,W1,40,1
16,E07,S2,33,4
17,E07,S4,38,2
18,E07,S5,22,2
19,E07,W2,36,1
20,E08,S4,27,2
21,E08,W2,29,4
22,E01,S2,25,3
23,E01,S3,22,3
24,E01,W2,21,1
25,E02,S4,27,0
26,E02,W2,22,2
27,E03,S4,26,1
28,E03,W2,23,2
29,E04,S1,33,3
30,E04,S3,39,8
31,E04,W2,36,6
32,E05,S2,37,4
33,E05,S4,40,2
34,E05,W1,39,1
35,E06,S4,22,3
36,E06,W1,36,1
37,E07,S2,31,3
38,E07,S4,35,3
39,E07,W2,40,3
40,E08,S4,29,2
41,E08,W2,32,5
42,E01,S2,32,2
43,E01,S3,23,2
44,E02,S4,23,1
45,E02,W2,39,2
46,E03,S4,28,1
47,E04,S3,40,8
48,E04,W2,39,6
49,E05,S2,40,4
50,E05,S4,33,3
51,E06,S4,21,3
52,E06,W1,35,1
53,E07,S2,35,4
54,E07,S4,34,3
55,E07,W2,38,2
56,E08,S4,30,2
57,E08,W2,30,4
58,E01,S2,30,2
59,E01,S3,32,2
60,E02,S4,20,2
61,E02,W2,25,1
62,E03,S4,29,0
63,E04,S3,38,7
64,E04,W2,38,6
65,E05,S2,36,4
66,E05,S4,36,3
67,E06,S4,20,3
68,E06,W1,21,1
69,E07,S2,29,3
70,E07,S4,38,1
71,E07,W2,40,2
72,E08,S4,26,2
73,E01,S2,31,2
74,E01,S3,26,2
75,E02,S4,29,0
76,E02,W2,23,1
77,E03,S4,30,0
78,E04,S3,39,7
79,E04,W2,39,5
