baseline                               reward
nop                                    0
reference                              1
all_zero                               0
transport_from_residual                0
deposition_omitted                     0
deposition_double_counted              0
moist_air_mass                         0
mask_term_omitted                      0
mask_term_start_state                  0
end_of_step_weights                    0
radical_diagnostic_as_production       0
drop_o1d_channel                       0
duplicate_titration                    0
scenarios_swapped                      0
threshold_after_integration            0
receptor_nearest_cell                  0
peak_of_difference                     0
interaction_always_positive            0
dominant_ignores_mask                  0
enhancement_means_production           0
sustain_from_enhancement_only          0
